b4:a9:fc:02:bd:13,172.30.102.43,A-1
b4:a9:fc:02:bf:27,172.30.102.44,B-2
b4:a9:fc:02:bf:44,172.30.102.45,C-3
b4:a9:fc:02:bf:3b,172.30.102.46,D-4
b4:a9:fc:02:c0:3a,172.30.102.47,E-5
b4:a9:fc:02:be:8f,172.30.102.48,F-6
b4:a9:fc:02:bf:6d,172.30.102.49,G-7
b4:a9:fc:02:c0:6d,172.30.102.50,H-10
b4:a9:fc:02:bf:3d,172.30.102.51,H-11
b4:a9:fc:02:bf:2b,172.30.102.52,A-20
b4:a9:fc:02:bf:1f,172.30.102.53,B-30
b4:a9:fc:02:bd:05,172.30.102.54,C-40
00:0c:29:dd:43:f8,172.30.102.55,D-48
b4:a9:fc:02:bf:30,172.30.102.56,E-22
00:0c:29:29:41:61,172.30.102.57,F-13
b4:a9:fc:02:bc:bf,172.30.102.58,G-20
b4:a9:fc:02:bd:55,172.30.102.59,H-1
b4:a9:fc:02:bf:30,172.30.102.60,A-7
